datetime_window,x_mean,y_mean,z_mean,ACC_vm_min,ACC_vm_max,ACC_vm_std,ACC_ForBack_Angle,ACC_dominantFr_x,ACC_dominantFr_z,ACC_entropy_x,ACC_power_0_25_1_x,prediction
2023-11-27 14:30:13.016,-0.9070052083333333,-0.5396875,0.0994270833333333,0.9826097487826883,1.2312779801530287,0.03556314914022021,-5.372075396646095,1.0,0.5,5.255433656072546,0.005566478104256714,Walk
2023-11-27 14:30:17.039,-0.9034114583333335,-0.5402864583333333,0.10661458333333332,0.9739722592587303,1.132036971124643,0.027992595262306953,-5.77325106339215,1.0,0.5,5.116174024137913,0.004163777536209352,Walk
2023-11-27 14:30:21.060,-0.9074739583333333,-0.5317968750000001,0.08338541666666664,0.9739722592587303,1.1146715551144426,0.02629255617954336,-4.520861622587428,0.5,0.5,5.10662783971408,0.006348230721285167,Walk
2023-11-27 14:30:25.081,-0.9127083333333332,-0.525859375,0.08643229166666667,0.9956298279683458,1.164621649824347,0.02578997887296056,-4.6825616068308475,0.875,0.375,4.92230584793962,0.0033198770781496566,Walk
2023-11-27 14:30:29.104,-0.8989062499999999,-0.5388541666666667,0.08541666666666665,0.7380182604048305,1.2474094249433505,0.05242586784308729,-4.643224347939001,0.125,0.125,5.221076187532998,0.004975520526604483,Walk
2023-11-27 14:30:33.126,-0.8946354166666666,-0.5484635416666666,0.014114583333333333,0.7380182604048305,1.2474094249433505,0.05552850910571755,-0.7657018194242321,0.25,0.125,5.468625004846852,0.029980094085825117,Walk
2023-11-27 14:30:37.148,-0.8826041666666667,-0.5722395833333335,-0.03567708333333333,0.9524986557660389,1.1756651670732805,0.042185035232490585,1.9303543023144645,0.125,0.5,5.654916823116108,0.006163021998514085,Walk
2023-11-27 14:30:41.168,-0.8670052083333332,-0.5919791666666668,-0.03109375000000001,0.9524986557660389,1.1756651670732805,0.04044589498113757,1.6874174695272037,0.125,0.5,5.573918182841959,0.008722873544590743,Walk
2023-11-27 14:30:45.191,-0.8576302083333335,-0.6060416666666667,-0.04033854166666667,0.9135133084253009,1.1877997839799925,0.040849590464771116,2.1876706406444053,0.125,0.5,5.674916837543037,0.007897055726563153,Walk
2023-11-27 14:30:49.212,-0.8533072916666665,-0.6158593749999999,-0.02895833333333333,0.9135133084253009,1.1877997839799925,0.040447065222966455,1.568643311586698,1.375,0.125,5.396173908722374,0.008595441885418683,Walk
2023-11-27 14:30:53.235,-0.8859635416666666,-0.5602083333333333,-0.0031770833333333325,0.7308898908536657,1.2777650989143006,0.06119273013768255,0.1725174840716618,1.875,0.5,5.6283666172225155,0.006530483883691462,Walk
2023-11-27 14:30:57.256,-0.9160416666666668,-0.5264843750000001,-0.03140625,0.7308898908536657,1.341540192829009,0.08085940722326931,1.6856370178650744,1.625,0.125,5.774916736554471,0.020281610297380036,Walk
2023-11-27 14:31:01.278,-0.9172135416666667,-0.5360416666666666,-0.02395833333333333,0.8869816133260442,1.341540192829009,0.06987696168994526,1.2816458778712203,0.875,0.125,5.870014457743847,0.018322145912869157,Walk
2023-11-27 14:31:05.300,-0.9185677083333335,-0.5199739583333333,0.004713541666666666,0.8869816133260442,1.1711079665674036,0.04832286446302975,-0.25493918078271977,0.875,0.5,5.4276263645726965,0.009684826593552088,Walk
2023-11-27 14:31:09.321,-0.9355729166666664,-0.4874479166666667,0.014713541666666665,0.912190925824331,1.226554206447545,0.04267941106730585,-0.7951612921529375,0.5,0.5,5.511271601057879,0.019892116641645242,Walk
2023-11-27 14:31:13.343,-0.9313020833333334,-0.49096354166666667,0.03197916666666666,0.912190925824331,1.226554206447545,0.0451146181012288,-1.7295211802080293,0.5,0.5,5.53617379330686,0.023293126232674842,Walk
2023-11-27 14:31:17.364,-0.9151822916666669,-0.5237760416666667,0.023385416666666665,0.9095105676440763,1.1582336822018282,0.046196990946942795,-1.2633331850058158,0.5,0.5,5.3863693655281075,0.014823666571924434,Walk
2023-11-27 14:31:21.387,-0.9151041666666667,-0.5248697916666667,0.018333333333333337,0.8284402243343444,1.186074276624419,0.05950287902983288,-0.9899039092871726,1.625,0.5,5.377983610907142,0.018368781465183563,Walk
2023-11-27 14:31:25.408,-0.9190885416666668,-0.50578125,-0.04846354166666668,0.8284402243343444,1.186074276624419,0.047843994003960465,2.631339903233483,0.875,0.125,4.357947668588766,0.014794587389682564,Walk
2023-11-27 14:31:29.430,-0.9213281249999998,-0.4998958333333334,-0.07111979166666665,0.7854790053178626,1.3990750602828839,0.06796156374956247,3.8291548975649476,0.25,0.125,4.729141635826164,0.04782236272195348,Walk
2023-11-27 14:31:33.452,-0.8974739583333333,-0.5240104166666668,-0.03028645833333334,0.7854790053178626,1.3990750602828839,0.07100157355659845,1.6282237903052328,0.25,0.25,6.296306102889825,0.08064917993317233,Walk
2023-11-27 14:31:37.473,-0.9556770833333335,-0.3764322916666667,-0.05294270833333334,0.880812939540403,1.2640567057963616,0.05136274214824108,2.8474358121518994,0.125,0.125,6.128757357710643,0.03650412959480261,Walk
2023-11-27 14:31:41.496,-1.0332291666666666,-0.23700520833333327,-0.08791666666666666,0.880812939540403,1.2640567057963616,0.06120268918268547,4.697899669859701,1.0,0.125,5.8434642518502535,0.0058366781728431405,Walk
2023-11-27 14:31:45.516,-1.0287239583333334,-0.2671875,-0.11833333333333332,0.8968358307842479,1.1895541444171425,0.04935270379148154,6.339464498980994,1.125,0.125,5.527626335718805,0.01115819759639996,Walk
2023-11-27 14:31:49.539,-1.0350520833333332,-0.2590104166666667,-0.12622395833333333,0.9379122357551194,1.1783645543733365,0.05192214501438739,6.7384967556430375,1.25,2.375,5.646369293393375,0.0029419562610540077,Walk
2023-11-27 14:31:53.560,-1.040703125,-0.26390624999999995,-0.11875000000000002,0.8914698113111664,1.2456439942870805,0.07925061016887691,6.2931858244615775,1.25,2.5,5.98875742984535,0.0025106906249817095,Walk
2023-11-27 14:31:57.583,-1.0491927083333332,-0.25164062500000006,-0.11437499999999998,0.8914698113111664,1.2456439942870805,0.0831325986178818,6.022591954621697,1.25,2.25,5.8434642518502535,0.006361929301009789,Walk
2023-11-27 14:32:01.604,-1.0215885416666666,-0.28875000000000006,-0.13330729166666666,0.906590423370183,1.2246922666545552,0.05610906336310578,7.109125617743174,0.125,0.25,5.7683665595147415,0.0028262116210961445,Walk
2023-11-27 14:32:05.625,-0.9485937499999999,-0.433046875,-0.11299479166666668,0.9867042823013416,1.1294130026118656,0.024544365516558087,6.12531479487799,0.125,0.125,5.695915477817198,0.0039002709342732043,Walk
2023-11-27 14:32:09.648,-0.8653645833333334,-0.5790364583333334,-0.05372395833333334,0.9261062559496226,1.1211383617236867,0.03507760699578935,2.9257701066070263,0.125,0.25,5.885112193360177,0.014319629555952583,Stand / SUM
2023-11-27 14:32:13.670,-0.8758333333333331,-0.5524739583333332,-0.06765625,0.845010953351921,1.1546447424800432,0.044972959670749595,3.6848766931756747,0.125,0.125,5.967758775144255,0.01602411794659193,Stand / SUM
2023-11-27 14:32:17.691,-0.8755208333333334,-0.563671875,-0.06773437500000001,0.845010953351921,1.2088944458677937,0.053311817216797446,3.661816774908908,0.125,0.375,6.058561886477992,0.07429380192574965,Stand / SUM
2023-11-27 14:32:21.712,-0.8975260416666666,-0.49666666666666665,-0.117734375,0.737531080147832,1.4761307055301802,0.08690225579546977,6.350182788830211,0.125,0.125,5.902465553868335,0.02960969970364175,Walk
2023-11-27 14:32:25.735,-0.978515625,-0.31635416666666666,-0.20200520833333335,0.737531080147832,1.4761307055301802,0.08418141746481986,10.921021249364747,0.125,0.125,5.420077475124133,0.00291666266170981,Walk
2023-11-27 14:32:29.756,-0.9371614583333333,-0.40669270833333326,-0.07635416666666667,0.7594573357855412,1.3538411066988252,0.0898303976638982,4.1213242548115225,0.125,0.125,5.941466841459487,0.1499858905485874,Walk
2023-11-27 14:32:33.777,-0.9445833333333334,-0.412421875,0.014973958333333336,0.7594573357855412,1.3538411066988252,0.08959899759441615,-0.8091904090413644,0.375,0.25,5.793659737509866,0.02403275477190435,Walk
2023-11-27 14:32:37.800,-0.9522135416666666,-0.3823437500000001,-0.065,0.9254176574454399,1.234959974785789,0.04852505312746696,3.5096952361964373,0.125,0.375,5.8634642229963765,0.06096819197595821,Walk
2023-11-27 14:32:41.822,-0.91953125,-0.43890625,-0.1628645833333333,0.9296583212041012,1.2095730440054961,0.03336106208263782,8.861166694101918,0.125,0.125,5.674916779835296,0.003957679304761902,Stand / SUM
2023-11-27 14:32:45.844,-0.7733333333333333,-0.5706510416666667,-0.08442708333333333,0.9152821575620214,1.3320026114956571,0.053719085746410204,4.603655146279405,0.125,0.125,5.878561973039645,0.1512889008842408,Sit
2023-11-27 14:32:49.864,-0.5386458333333333,-0.772109375,0.22453125,0.9152821575620214,1.3320026114956571,0.0540096575663227,-12.44178436408046,0.125,0.125,5.9336597086559655,0.02536589814772779,Stand / SUM
2023-11-27 14:32:53.887,-0.5179427083333333,-0.7597916666666669,0.471484375,0.9958784149053064,1.0630104982757436,0.011082917954818238,-26.91220083427451,0.125,0.125,5.78511225106794,0.0033885309147296257,Sit
